,mean_r,mean_g,mean_b,stddev_r,stddev_g,stddev_b,mean_h,mean_s,mean_v,stddev_h,stddev_s,stddev_v,label
0,119.29478454589844,106.8016357421875,92.03549194335938,78.33656958547606,71.58770806538519,59.998002266462905,106.77279663085938,62.46043395996094,122.119873046875,26.75827752271373,30.69706857341808,78.39119476748473,1
1,118.74525451660156,107.79957580566406,95.66383361816406,77.77383048072122,71.19744867063534,60.51864903043844,111.03193664550781,60.17706298828125,124.71426391601562,25.684164429437235,29.20725703557133,77.97310637508893,1
2,110.48602294921875,99.06620788574219,84.44697570800781,80.32443228907363,72.64177125182714,60.44119579490315,106.93634033203125,67.43132019042969,115.08203125,27.327048027402935,33.72710469983107,80.9821928253957,1
3,114.86831665039062,101.52442932128906,87.39717102050781,81.59865768419616,73.2827896718935,61.88103454577083,104.75465393066406,63.363250732421875,117.11651611328125,31.51936981978756,33.31289631461494,81.67159421985905,1
4,129.9732666015625,117.47969055175781,101.37503051757812,78.5716499008256,70.52759817699845,58.85226856872302,109.16828918457031,64.62510681152344,136.226806640625,27.19633840109941,30.29602842816341,77.73342461201507,1
5,127.3106689453125,116.27749633789062,103.28408813476562,72.29247925664221,67.21075990133484,57.322911751378214,112.40185546875,61.131622314453125,134.43740844726562,22.14531735572447,27.206695199915472,71.62085388320664,1
6,139.73854064941406,124.00515747070312,108.54002380371094,73.26308898574764,64.10599350744263,53.20803497809238,113.45732116699219,61.14080810546875,144.9754180908203,23.370298392922678,29.476770241470653,71.90677556340592,1
7,117.80158996582031,109.78759765625,96.2110595703125,79.27934410916399,74.5228985263967,63.41512972260431,107.09397888183594,63.412322998046875,127.85948181152344,24.14076348313927,31.89372300911263,79.76377448040174,1
8,110.88687133789062,95.69535827636719,80.68942260742188,82.49156425711357,71.9012807366436,60.1444078882496,100.66450500488281,71.69198608398438,115.22653198242188,37.08196694918118,39.59541760356845,82.98442822330011,1
9,118.82266235351562,111.88845825195312,97.41804504394531,80.76847198014568,75.6163735384759,63.886225399817995,108.9295654296875,62.78935241699219,128.52589416503906,22.16030287126746,31.816310814130524,81.10935920282566,1
10,114.85838317871094,103.87837219238281,88.90469360351562,76.15877838676514,70.87476097265723,61.0381353918246,103.72100830078125,72.58711242675781,120.67845153808594,27.698995621790797,37.21760587818634,76.6409064216273,1
11,111.77548217773438,101.70866394042969,88.49873352050781,74.70895334994307,69.65945108436894,60.05533183404127,100.82246398925781,67.29727172851562,117.283203125,32.724059888542456,33.17263640461965,75.13891977845044,1
12,112.29537963867188,102.17533874511719,88.97712707519531,74.68833538948282,69.59468294447387,60.04114351588852,100.17878723144531,66.22116088867188,117.64471435546875,33.131380703175104,33.53403997989268,75.07770871789802,1
13,113.56443786621094,103.47248840332031,90.02017211914062,74.70567470979285,69.66764672144342,60.04131666286975,100.81211853027344,67.3150634765625,119.1708984375,32.36179571298777,32.67822100531396,75.04153654675709,1
14,113.13978576660156,103.0811767578125,89.696533203125,74.8716174573952,69.77564209953464,60.193901398474,101.54257202148438,66.53311157226562,118.63542175292969,31.729419008871954,32.772924456812014,75.24548794035711,1
15,113.34390258789062,103.25662231445312,89.77023315429688,74.81518112627482,69.72221823453673,60.11861954247377,101.27287292480469,66.93507385253906,118.82106018066406,31.89439734487681,32.88565986945491,75.16251969332491,1
16,113.6500244140625,103.35194396972656,89.91049194335938,74.66360440831659,69.63010697732425,59.97187870272173,101.74560546875,67.40715026855469,119.21641540527344,31.498541597634944,32.59753267496989,74.99314580296067,1
17,112.42860412597656,102.05889892578125,89.00186157226562,74.40708197437709,69.22058743969615,59.83226444286327,100.28363037109375,66.14549255371094,117.49867248535156,32.97627882568842,32.87256122515822,74.73466899766687,1
18,113.898681640625,103.55961608886719,90.2327880859375,74.54126055165096,69.52331932035743,59.9403464472538,101.47666931152344,67.12811279296875,119.49453735351562,31.878863489284374,32.41437892565143,74.85975800519925,1
19,113.41329956054688,103.32899475097656,89.81172180175781,74.63197397516886,69.64190978508128,60.03456237141805,100.57398986816406,66.80865478515625,119.00413513183594,32.083223655035326,33.013158436124804,75.01133803859997,1
